seq,frame,type,gt_id_old,gt_id_new,track_id,note
V001,313,reuse,14,76,25,tracker 25 matched gt 14 (last frame 306) now gt 76
V001,317,switch,17,17,25,tracker 27 -> 25 on gt 17
V001,318,switch,76,76,32,tracker 25 -> 32 on gt 76
V001,318,reuse,76,17,25,tracker 25 matched gt 76 (last frame 316) now gt 17
V001,348,switch,38,38,38,tracker 6 -> 38 on gt 38
V001,350,reuse,56,48,34,tracker 34 matched gt 56 (last frame 346) now gt 48
V001,353,switch,56,56,40,tracker 34 -> 40 on gt 56
V001,358,switch,28,28,23,tracker 14 -> 23 on gt 28
V001,359,reuse,31,28,23,tracker 23 matched gt 31 (last frame 356) now gt 28
V001,364,switch,31,31,9,tracker 23 -> 9 on gt 31
V001,365,reuse,29,31,9,tracker 9 matched gt 29 (last frame 363) now gt 31
V001,366,switch,29,29,43,tracker 9 -> 43 on gt 29
V001,374,reuse,59,58,18,tracker 18 matched gt 59 (last frame 373) now gt 58
V001,383,reuse,48,49,34,tracker 34 matched gt 48 (last frame 373) now gt 49
V001,389,switch,18,18,24,tracker 22 -> 24 on gt 18
V001,390,reuse,67,18,24,tracker 24 matched gt 67 (last frame 386) now gt 18
V001,391,switch,42,42,26,tracker 28 -> 26 on gt 42
V001,392,reuse,15,42,26,tracker 26 matched gt 15 (last frame 390) now gt 42
V001,394,switch,9,9,35,tracker 33 -> 35 on gt 9
V001,395,switch,48,48,40,tracker 34 -> 40 on gt 48
V001,395,switch,67,67,46,tracker 24 -> 46 on gt 67
V001,395,reuse,10,9,35,tracker 35 matched gt 10 (last frame 393) now gt 9
V001,395,reuse,42,15,26,tracker 26 matched gt 42 (last frame 394) now gt 15
V001,396,reuse,56,48,40,tracker 40 matched gt 56 (last frame 394) now gt 48
V001,400,switch,17,17,33,tracker 25 -> 33 on gt 17
V001,401,reuse,9,17,33,tracker 33 matched gt 9 (last frame 376) now gt 17
V001,404,switch,26,26,9,tracker 3 -> 9 on gt 26
V001,405,switch,10,10,25,tracker 35 -> 25 on gt 10
V001,405,switch,15,15,47,tracker 26 -> 47 on gt 15
V001,405,reuse,31,26,9,tracker 9 matched gt 31 (last frame 391) now gt 26
V001,405,reuse,15,42,26,tracker 26 matched gt 15 (last frame 404) now gt 42
V001,407,reuse,17,10,25,tracker 25 matched gt 17 (last frame 387) now gt 10
