seq,frame,type,gt_id_old,gt_id_new,track_id,old_hid,last_frame,gap,IoU_last,dx_last,dy_last,dist_last,IoU_prev,IoU_next,IoU_swap,dist_swap,area_ratio,na_flag
V001,227,switch,5,5,11,8,,,,,,,,0.82382765,,,,no_last_seen|no_prev|no_old
V001,235,switch,6,6,12,9,,,,,,,,0.96093115,,,,no_last_seen|no_prev|no_old
V001,686,switch,6,6,14,12,,,,,,,,0.36162469,,,,no_last_seen|no_prev|no_old
V001,690,switch,6,6,15,12,,,,,,,,0.79895666,,,,no_last_seen|no_prev|no_old
V001,694,switch,4,4,16,5,,,,,,,,0.74718830,,,,no_last_seen|no_prev|no_old
V001,755,switch,1,1,15,3,754,1,0.94947599,0.80000000,1.80000000,1.96977156,0.94947599,,,,1.05003909,no_next|no_old
V001,756,switch,1,1,3,3,753,3,0.59892681,14.40000000,6.40000000,15.75817248,,0.78117734,1.00000000,0.00000000,1.28993465,no_prev
V001,764,switch,0,0,6,1,763,1,0.87137731,2.40000000,3.70000000,4.41021541,0.87137731,0.82378890,0.41073397,20.49786574,1.04627767,
V001,764,switch,3,3,1,6,763,1,0.79356232,5.05000000,6.10000000,7.91912243,0.79356232,0.81361536,0.41073397,20.49786574,0.97844975,
V001,765,reuse,3,0,6,0,764,1,0.82378890,3.25000000,5.80000000,6.64849607,0.82378890,0.76970201,,,1.06055021,
V001,765,reuse,0,3,1,0,764,1,0.81361536,3.40000000,8.00000000,8.69252552,0.81361536,0.76839342,,,0.98360782,
V001,798,switch,2,2,6,4,797,1,0.83256966,6.90000000,-0.10000000,6.90072460,0.83256966,,,,0.96390179,no_next|no_old
V001,801,switch,2,2,1,4,800,1,0.86375814,-4.40000000,0.40000000,4.41814441,0.86375814,0.93233358,,,0.95658623,no_old
V001,801,switch,3,3,6,1,798,3,0.88852488,3.55000000,-0.10000000,3.55140817,,0.93359410,0.38750149,30.56869314,0.93398504,no_prev
V001,802,reuse,3,2,1,0,801,1,0.93233358,-1.80000000,-1.70000000,2.47588368,0.93233358,0.91855215,,,0.99921066,
V001,802,reuse,0,3,6,0,801,1,0.93359410,0.10000000,1.30000000,1.30384048,0.93359410,,,,0.93359410,no_next
V001,803,switch,3,3,4,6,800,3,0.75118134,0.85000000,9.95000000,9.98624053,,0.95091695,,,0.75118134,no_prev|no_old
V001,804,reuse,2,3,4,0,803,1,0.95091695,-0.40000000,3.00000000,3.02654919,0.95091695,0.92660602,,,0.99191686,
V002,99,switch,3,3,19,24,98,1,0.91455167,2.85000000,-1.05000000,3.03726851,0.91455167,0.94373081,0.56681450,23.80000000,1.06114250,
V002,99,switch,9,9,24,19,98,1,0.77794291,7.45000000,-2.20000000,7.76804351,0.77794291,0.81063509,0.56681450,23.80000000,0.92629486,
V002,100,reuse,9,3,19,0,99,1,0.94373081,0.70000000,-1.30000000,1.47648231,0.94373081,0.93750749,,,1.05616264,
V002,102,reuse,3,9,24,0,101,1,0.88210351,2.90000000,1.55000000,3.28823661,0.88210351,0.89188837,,,1.03104027,
V002,213,switch,0,0,26,18,212,1,0.94855895,0.90000000,2.75000000,2.89352726,0.94855895,0.79796712,0.37590772,31.64150755,1.02244565,
V002,213,switch,4,4,18,26,212,1,0.75278753,6.05000000,-6.20000000,8.66270743,0.75278753,0.81836190,0.37590772,31.64150755,0.92134813,
V002,214,reuse,4,0,26,0,213,1,0.79796712,-8.35000000,2.40000000,8.68806653,0.79796712,0.83404285,,,0.99652851,
V002,214,reuse,0,4,18,0,213,1,0.81836190,5.30000000,-1.25000000,5.44541091,0.81836190,0.74198553,,,1.03672711,
V002,353,switch,8,8,27,22,,,,,,,,0.82398608,,,,no_last_seen|no_prev|no_old
V002,363,switch,3,3,28,19,,,,,,,,0.94172907,,,,no_last_seen|no_prev|no_old
V002,378,switch,9,9,29,24,,,,,,,,0.65402925,,,,no_last_seen|no_prev|no_old
V002,392,switch,7,7,30,23,,,,,,,,0.79387983,,,,no_last_seen|no_prev|no_old
V002,398,switch,4,4,31,18,,,,,,,,0.37081177,,,,no_last_seen|no_prev|no_old
V003,205,switch,6,6,42,38,,,,,,,,0.78268856,,,,no_last_seen|no_prev|no_old
V003,309,switch,4,4,43,36,,,,,,,,0.73830137,,,,no_last_seen|no_prev|no_old
V003,377,switch,4,4,42,43,376,1,0.60853420,-16.30000000,1.05000000,16.33378401,0.60853420,0.61721911,0.47838204,26.48103095,0.97811587,
V003,377,switch,6,6,43,42,376,1,0.89619986,-3.45000000,3.35000000,4.80884602,0.89619986,0.83619024,0.47838204,26.48103095,1.07415708,
V003,378,reuse,6,4,42,0,377,1,0.61721911,-15.20000000,-0.75000000,15.21849204,0.61721911,0.61240935,,,1.10308210,
V003,378,reuse,4,6,43,0,377,1,0.83619024,-6.80000000,-1.50000000,6.96347614,0.83619024,0.80392776,,,1.10190438,
V003,390,switch,4,4,43,42,389,1,0.91361667,-1.75000000,-1.95000000,2.62011450,0.91361667,0.90430710,0.37760607,38.09412684,0.91774407,
V003,390,switch,6,6,42,43,389,1,0.57548059,-20.80000000,7.55000000,22.12786705,0.57548059,0.71548124,0.37760607,38.09412684,1.05340200,
V003,391,reuse,6,4,43,0,390,1,0.90430710,-3.80000000,-0.20000000,3.80525952,0.90430710,0.85515794,,,0.98394642,
V003,391,reuse,4,6,42,0,390,1,0.71548124,-11.60000000,6.80000000,13.44618905,0.71548124,0.70082872,,,0.94529966,
V003,453,switch,7,7,43,33,452,1,0.92535555,2.25000000,0.05000000,2.25055549,0.92535555,0.94901408,,,0.99685448,no_old
V003,457,switch,7,7,44,33,,,,,,,,0.88069062,,,,no_last_seen|no_prev|no_old
V003,461,switch,4,4,34,43,460,1,0.89902200,1.40000000,-5.60000000,5.77234788,0.89902200,0.89579981,0.45418946,43.98408803,0.94785201,
V003,461,switch,8,8,43,34,460,1,0.87008957,-6.75000000,-1.55000000,6.92567686,0.87008957,0.85022288,0.45418946,43.98408803,1.04249554,
V003,462,reuse,8,4,34,0,461,1,0.89579981,-2.55000000,-3.50000000,4.33041568,0.89579981,0.80113977,,,0.98453721,
V003,462,reuse,4,8,43,0,461,1,0.85022288,-8.20000000,-1.60000000,8.35463943,0.85022288,0.85746513,,,1.03068937,
V003,466,switch,7,7,45,44,,,,,,,,0.93939872,,,,no_last_seen|no_prev|no_old
V003,473,switch,7,7,43,45,472,1,0.80225623,-11.00000000,-2.10000000,11.19866063,0.80225623,0.87882056,0.46011442,34.68879502,1.00086867,
V003,473,switch,8,8,45,43,472,1,0.88798395,-3.75000000,-3.90000000,5.41040664,0.88798395,0.90863519,0.46011442,34.68879502,1.07311052,
V003,474,reuse,8,7,43,0,473,1,0.87882056,-6.55000000,-0.85000000,6.60492241,0.87882056,0.84315906,,,0.99442321,
V003,474,reuse,7,8,45,0,473,1,0.90863519,-2.25000000,-4.85000000,5.34649418,0.90863519,0.93882649,,,1.02722029,
V003,480,switch,9,9,46,40,,,,,,,,0.67635829,,,,no_last_seen|no_prev|no_old
