seq,frame,type,gt_id_old,gt_id_new,track_id,old_hid,last_frame,gap,IoU_last,dx_last,dy_last,dist_last,IoU_prev,IoU_next,IoU_swap,dist_swap,area_ratio,na_flag
V001,313,reuse,14,76,25,0,310,3,0.87297001,-2.00000000,-1.45000000,2.47032387,,0.96162691,,,0.98023786,no_prev
V001,317,switch,17,17,25,27,316,1,0.88047503,-2.10000000,0.60000000,2.18403297,0.88047503,0.92070061,,,0.96325282,no_old
V001,318,switch,76,76,32,25,,,,,,,,0.87754137,0.45262375,13.52081728,,no_last_seen|no_prev
V001,318,reuse,76,17,25,0,317,1,0.92070061,-1.25000000,0.75000000,1.45773797,0.92070061,0.80002374,,,0.97550807,
V001,348,switch,38,38,38,6,,,,,,,,0.85174581,0.07282766,89.90613160,,no_last_seen|no_prev
V001,350,reuse,56,48,34,0,349,1,0.91305436,-0.80000000,0.45000000,0.91787799,0.91305436,0.97137493,,,1.00165837,
V001,353,switch,56,56,40,34,,,,,,,,0.89650360,0.36191267,9.86154146,,no_last_seen|no_prev
V001,358,switch,28,28,23,14,357,1,0.67367231,6.80000000,0.95000000,6.86603962,0.67367231,0.79661371,0.47384132,11.78812962,1.07144445,
V001,359,reuse,31,28,23,0,358,1,0.79661371,3.55000000,0.80000000,3.63902459,0.79661371,0.86759653,,,1.09714872,
V001,364,switch,31,31,9,23,363,1,0.86544703,0.35000000,-3.30000000,3.31850870,0.86544703,0.91216038,0.15893222,25.08565327,0.87318519,
V001,365,reuse,29,31,9,0,364,1,0.91216038,0.15000000,-2.10000000,2.10535033,0.91216038,0.97027969,,,0.92087753,
V001,366,switch,29,29,43,9,,,,,,,,0.98489909,0.48920391,19.67256974,,no_last_seen|no_prev
V001,374,reuse,59,58,18,0,373,1,0.83188773,1.40000000,-1.15000000,1.81176709,0.83188773,0.68470272,,,0.95151578,
V001,383,reuse,48,49,34,0,382,1,0.92585781,-0.70000000,0.45000000,0.83216585,0.92585781,0.95459319,,,1.01998331,
V001,389,switch,18,18,24,22,388,1,0.58052380,-7.10000000,0.30000000,7.10633520,0.58052380,0.75175683,0.00325210,28.63721355,1.14391496,
V001,390,reuse,67,18,24,0,389,1,0.75175683,-3.95000000,1.40000000,4.19076365,0.75175683,0.75963901,,,1.03512858,
V001,391,switch,42,42,26,28,390,1,0.72922714,-3.55000000,0.40000000,3.57246414,0.72922714,0.77178442,0.17059796,17.55861612,0.95795093,
V001,392,reuse,15,42,26,0,391,1,0.77178442,-3.00000000,-0.05000000,3.00041664,0.77178442,0.91459515,,,1.02674646,
V001,394,switch,9,9,35,33,393,1,0.82272862,-3.20000000,-2.05000000,3.80032893,0.82272862,0.86080923,,,0.98709908,no_old
V001,395,switch,48,48,40,34,394,1,0.83323877,2.10000000,-0.05000000,2.10059515,0.83323877,0.95010854,0.01283473,22.90349318,0.98130129,
V001,395,switch,67,67,46,24,,,,,,,,0.93033199,0.13885344,23.57382022,,no_last_seen|no_prev
V001,395,reuse,10,9,35,0,394,1,0.86080923,2.50000000,0.20000000,2.50798724,0.86080923,0.89019691,,,0.95721398,
