seq,frame,type,gt_id_old,gt_id_new,track_id,note
V001,47,reuse,4,42,6,tracker 6 matched gt 4 (last frame 42) now gt 42
V001,104,switch,36,36,47,tracker 18 -> 47 on gt 36
V001,124,switch,8,8,20,tracker 27 -> 20 on gt 8
V001,125,reuse,7,8,20,tracker 20 matched gt 7 (last frame 123) now gt 8
V001,128,switch,7,7,12,tracker 20 -> 12 on gt 7
V001,129,reuse,12,7,12,tracker 12 matched gt 12 (last frame 127) now gt 7
V001,140,switch,12,12,17,tracker 12 -> 17 on gt 12
V001,141,reuse,29,12,17,tracker 17 matched gt 29 (last frame 139) now gt 12
V001,144,switch,35,35,54,tracker 19 -> 54 on gt 35
V001,151,switch,29,29,40,tracker 17 -> 40 on gt 29
V001,166,reuse,13,47,13,tracker 13 matched gt 13 (last frame 163) now gt 47
V001,169,switch,47,47,66,tracker 13 -> 66 on gt 47
V001,171,switch,30,30,40,tracker 29 -> 40 on gt 30
V001,176,reuse,30,29,40,tracker 40 matched gt 30 (last frame 175) now gt 29
V001,178,reuse,29,30,40,tracker 40 matched gt 29 (last frame 177) now gt 30
V001,185,switch,77,77,67,tracker 24 -> 67 on gt 77
V001,185,reuse,16,44,32,tracker 32 matched gt 16 (last frame 184) now gt 44
V001,188,switch,29,29,76,tracker 40 -> 76 on gt 29
V001,201,switch,77,77,24,tracker 67 -> 24 on gt 77
V001,224,switch,74,74,83,tracker 59 -> 83 on gt 74
V001,225,reuse,33,49,11,tracker 11 matched gt 33 (last frame 219) now gt 49
V001,229,switch,77,77,71,tracker 24 -> 71 on gt 77
V001,238,switch,78,78,24,tracker 26 -> 24 on gt 78
V001,239,switch,78,78,26,tracker 26 -> 26 on gt 78
V001,242,switch,78,78,24,tracker 26 -> 24 on gt 78
V001,243,reuse,77,78,24,tracker 24 matched gt 77 (last frame 224) now gt 78
V001,247,switch,49,49,86,tracker 11 -> 86 on gt 49
V001,247,switch,53,53,38,tracker 86 -> 38 on gt 53
V001,248,reuse,53,49,86,tracker 86 matched gt 53 (last frame 246) now gt 49
V001,248,reuse,32,53,38,tracker 38 matched gt 32 (last frame 242) now gt 53
V001,249,switch,31,31,38,tracker 34 -> 38 on gt 31
V001,249,switch,32,32,11,tracker 38 -> 11 on gt 32
V001,249,switch,53,53,34,tracker 38 -> 34 on gt 53
V001,250,reuse,53,31,38,tracker 38 matched gt 53 (last frame 248) now gt 31
V001,250,reuse,31,53,34,tracker 34 matched gt 31 (last frame 248) now gt 53
V001,254,switch,63,63,93,tracker 90 -> 93 on gt 63
V001,254,reuse,63,64,90,tracker 90 matched gt 63 (last frame 253) now gt 64
V001,266,switch,46,46,95,tracker 65 -> 95 on gt 46
V001,282,switch,26,26,10,tracker 5 -> 10 on gt 26
V001,283,reuse,24,26,10,tracker 10 matched gt 24 (last frame 281) now gt 26
V001,284,switch,58,58,103,tracker 74 -> 103 on gt 58
V001,291,switch,23,23,103,tracker 25 -> 103 on gt 23
V001,292,reuse,58,23,103,tracker 103 matched gt 58 (last frame 290) now gt 23
V001,296,switch,23,23,106,tracker 103 -> 106 on gt 23
V001,296,switch,58,58,25,tracker 103 -> 25 on gt 58
V001,297,switch,29,29,40,tracker 76 -> 40 on gt 29
V001,297,reuse,23,58,25,tracker 25 matched gt 23 (last frame 284) now gt 58
V001,298,switch,20,20,25,tracker 35 -> 25 on gt 20
V001,298,switch,58,58,35,tracker 25 -> 35 on gt 58
V001,298,reuse,30,29,40,tracker 40 matched gt 30 (last frame 296) now gt 29
V001,299,switch,20,20,103,tracker 35 -> 103 on gt 20
V001,299,reuse,20,58,35,tracker 35 matched gt 20 (last frame 297) now gt 58
V001,300,reuse,23,20,103,tracker 103 matched gt 23 (last frame 295) now gt 20
V001,301,switch,23,23,74,tracker 106 -> 74 on gt 23
V001,301,switch,46,46,66,tracker 95 -> 66 on gt 46
V001,302,reuse,58,23,74,tracker 74 matched gt 58 (last frame 267) now gt 23
