seq,switch_count,reuse_count,num_switches_metric,transfer_rows,status
V001,13,5,13,7,OK
V002,9,4,9,4,OK
V003,14,8,14,9,OK
V004,3,2,3,2,OK
V005,7,3,7,3,OK
V006,4,0,4,0,OK
V007,4,4,4,4,OK
V008,2,2,2,1,OK
V009,12,1,12,1,OK
V010,23,2,23,2,OK
V011,45,2,45,3,OK
V012,15,0,15,0,OK
V013,84,8,84,21,OK
V014,6,0,6,0,OK
V015,20,12,20,11,OK
V016,25,9,25,10,OK
V017,33,8,33,9,OK
V018,13,4,13,4,OK
V019,47,19,47,20,OK
V020,11,2,11,2,OK
V021,26,10,26,10,OK
V022,13,6,13,6,OK
V023,17,12,17,11,OK
V024,21,4,21,4,OK
V025,11,2,11,3,OK
V026,10,6,10,6,OK
V027,2,0,2,0,OK
V028,16,12,16,11,OK
V029,9,3,9,3,OK
V030,15,7,15,7,OK
V031,32,13,32,16,OK
V032,9,5,9,6,OK
V033,6,3,6,4,OK
V034,6,3,6,3,OK
V035,2,2,2,2,OK
V036,1,0,1,0,OK
V037,10,0,10,0,OK
V038,54,2,54,4,OK
V039,103,15,103,40,OK
V040,118,49,118,61,OK
V041,83,9,83,15,OK
V042,47,9,47,13,OK
V043,243,105,243,147,OK
V044,20,4,20,4,OK
V045,49,15,49,15,OK
V046,13,6,13,6,OK
V047,21,6,21,6,OK
V048,12,8,12,8,OK
V049,15,7,15,8,OK
V050,5,4,5,4,OK
V051,11,6,11,6,OK
V052,79,31,79,44,OK
V053,40,18,40,20,OK
V054,67,15,67,33,OK
V055,27,9,27,12,OK
V056,41,19,41,20,OK
V057,34,18,34,19,OK
V058,57,4,57,28,OK
V059,0,0,0,0,OK
V060,15,8,15,8,OK
V061,11,6,11,6,OK
V062,7,2,7,2,OK
V063,15,9,15,9,OK
V064,6,0,6,0,OK
V065,19,10,19,10,OK
V066,12,5,12,5,OK
V067,11,5,11,7,OK
V068,13,4,13,5,OK
V069,17,9,17,8,OK
V070,35,18,35,14,OK
V071,8,2,8,2,OK
V072,12,6,12,7,OK
V073,13,7,13,8,OK
V074,16,8,16,8,OK
V075,17,11,17,11,OK
V076,13,8,13,8,OK
V077,42,5,42,13,OK
V078,8,0,8,0,OK
V079,29,3,29,6,OK
V080,8,0,8,1,OK
V081,24,0,24,1,OK
V082,24,0,24,1,OK
V083,32,4,32,4,OK
V084,24,2,24,2,OK
V085,21,6,21,6,OK
V086,87,9,87,14,OK
V087,108,38,108,43,OK
V088,15,2,15,2,OK
V089,51,13,51,18,OK
V090,119,20,119,27,OK
