dataset,seq,frame,class,track_id,gt_id_new,old_hid,no_box,top1,top2,margin,cos_theta,v_obs_norm,occlusion,swap_A,swap_B
MOT17,V001,317,S_r,25,17,27,0,0.871247,0.031835,0.839412,-0.274721,0.020452,1.000000,-1.797965,-1.797965
MOT17,V001,318,S_c,32,76,25,0,0.428965,0.029926,0.399039,,,1.000000,0.514514,-1.359967
MOT17,V001,348,S_c,38,38,6,0,0.222037,0.220038,0.002000,,,1.000000,0.565275,-0.568718
MOT17,V001,353,S_c,40,56,34,0,0.348674,0.097803,0.250871,,,0.599034,0.698114,-1.220265
MOT17,V001,358,S_r,23,28,14,0,0.862943,0.615875,0.247068,0.847875,0.062947,1.000000,-0.597638,-0.597638
MOT17,V001,364,S_r,9,31,23,0,0.873185,0.213704,0.659481,0.971760,0.034429,0.782609,-0.430681,-1.299589
MOT17,V001,366,S_c,43,29,9,0,0.472420,0.326971,0.145449,,,0.842857,0.635212,-0.985100
MOT17,V001,389,S_r,24,18,22,0,0.582556,0.037980,0.544577,0.237337,0.082968,1.000000,-1.495960,-1.495960
MOT17,V001,391,S_r,26,42,28,0,0.871814,0.149539,0.722275,0.936886,0.046586,1.000000,-1.519532,-1.519532
MOT17,V001,394,S_r,35,9,33,0,0.769612,0.178172,0.591439,-0.880924,0.031547,1.000000,-1.369020,-1.369020
MOT17,V001,395,S_r,40,48,34,0,0.827400,0.277823,0.549577,0.023803,0.029878,0.370370,-1.177270,-1.177270
MOT17,V001,395,S_c,46,67,24,0,0.130711,0.035601,0.095109,,,1.000000,0.781793,-1.038404
MOT17,V001,400,S_h,33,17,25,0,0.680160,0.238529,0.441631,,,1.000000,0.352941,-1.141637
MOT17,V001,404,S_h,9,26,3,0,0.874750,0.290801,0.583949,,,1.000000,-1.065357,-1.065357
MOT17,V001,405,S_h,25,10,35,0,0.625808,0.232893,0.392914,,,1.000000,0.271467,-0.965453
MOT17,V001,405,S_c,47,15,26,0,0.295266,0.091912,0.203354,,,0.619247,0.683661,-1.144507
MOT17,V001,408,S_h,22,41,17,0,0.831695,0.071887,0.759808,,,0.450382,-0.693301,-1.699889
MOT17,V001,423,S_r,15,61,12,0,0.867416,0.026312,0.841104,0.987861,0.015694,1.000000,-1.780700,-1.780700
MOT17,V001,427,S_h,23,31,9,0,0.505882,0.295719,0.210163,,,1.000000,0.567542,-0.980101
MOT17,V001,429,S_r,33,9,35,0,0.886156,0.629636,0.256520,-0.993035,0.012882,1.000000,-0.445803,-0.445803
MOT17,V001,442,S_r,43,31,23,0,0.825624,0.529469,0.296155,0.535205,0.032773,0.878641,-0.657075,-0.657075
MOT17,V001,443,S_c,50,60,15,0,0.325820,0.016313,0.309507,,,1.000000,0.605796,-1.252213
MOT17,V001,448,S_c,52,17,33,0,0.046027,0.007434,0.038593,,,1.000000,0.706897,-0.929983
MOT17,V001,448,S_h,33,76,32,0,0.040880,0.009176,0.031704,,,1.000000,0.527438,-0.707719
MOT17,V001,451,S_r,12,48,40,0,0.873781,0.713869,0.159912,,0.029900,1.000000,-0.221929,-0.221929
MOT17,V001,452,S_c,54,10,25,0,0.174251,0.159173,0.015077,,,1.000000,0.817258,-0.978024
MOT17,V001,452,S_r,30,33,37,0,0.630591,0.154444,0.476147,-0.793895,0.031896,1.000000,-1.273231,-1.273231
MOT17,V001,454,S_h,32,9,33,0,0.458384,0.093030,0.365354,,,1.000000,0.313580,-1.095607
MOT17,V001,455,S_h,37,33,37,0,0.315799,0.063733,0.252065,,,1.000000,0.502096,-1.125297
MOT17,V001,457,S_r,54,9,32,0,0.413769,0.278615,0.135154,0.073463,0.115746,1.000000,-0.716880,-0.716880
MOT17,V001,457,S_c,55,40,11,0,0.037414,0.020605,0.016809,,,1.000000,0.878372,-0.881222
MOT17,V001,458,S_h,32,9,32,0,0.595246,0.343772,0.251474,,,1.000000,0.315228,-0.361992
