dataset,class,feature,direction,n_pos,n_pos_defined,auc,tpr_1,fpr_1,tpr_2,fpr_2
MOT17,S_c,margin,low,123,18,0.9877,12.1951%,0.4307%,14.6341%,1.9566%
MOT17,S_c,cos,low,123,0,nan,0.0000%,0.0000%,0.0000%,0.0000%
MOT17,S_c,vobs,high,123,0,nan,0.0000%,0.6688%,0.0000%,1.7144%
MOT17,S_c,oc,high,123,18,0.7767,0.0000%,0.0000%,0.0000%,0.0000%
MOT17,S_c,dca,high,123,18,0.9985,14.6341%,0.4472%,14.6341%,1.2651%
MOT17,S_c,dcb,high,123,18,0.8372,0.0000%,0.9669%,2.4390%,1.9608%
MOT17,S_r,margin,low,249,171,0.7378,18.0723%,0.7682%,24.0964%,1.9566%
MOT17,S_r,cos,low,249,156,0.5613,4.8193%,0.8261%,6.0241%,1.6792%
MOT17,S_r,vobs,high,249,171,0.7734,4.8193%,0.6688%,12.0482%,1.7144%
MOT17,S_r,oc,high,249,171,0.7217,0.0000%,0.0000%,0.0000%,0.0000%
MOT17,S_r,dca,high,249,171,0.7630,10.8434%,0.4472%,22.8916%,1.2651%
MOT17,S_r,dcb,high,249,171,0.7311,18.0723%,0.9669%,21.6867%,1.9608%
MOT17,S_h,margin,low,177,63,0.8718,16.9492%,0.7682%,18.6441%,1.9566%
MOT17,S_h,cos,low,177,0,nan,0.0000%,0.0000%,0.0000%,0.0000%
MOT17,S_h,vobs,high,177,0,nan,0.0000%,0.6688%,0.0000%,1.7144%
MOT17,S_h,oc,high,177,63,0.5908,0.0000%,0.0000%,0.0000%,0.0000%
MOT17,S_h,dca,high,177,63,0.8825,22.0339%,0.4472%,25.4237%,1.2651%
MOT17,S_h,dcb,high,177,63,0.7451,8.4746%,0.9669%,8.4746%,1.9608%
MOT17,overall,margin,low,549,252,0.7892,16.3934%,0.7682%,20.2186%,1.9566%
MOT17,overall,cos,low,549,156,0.5613,2.1858%,0.8261%,2.7322%,1.6792%
MOT17,overall,vobs,high,549,171,0.7734,2.1858%,0.6688%,5.4645%,1.7144%
MOT17,overall,oc,high,549,252,0.6929,0.0000%,0.0000%,0.0000%,0.0000%
MOT17,overall,dca,high,549,252,0.8097,15.3005%,0.4472%,21.8579%,1.2651%
MOT17,overall,dcb,high,549,252,0.7421,10.9290%,0.9669%,13.1148%,1.9608%
MOT20,S_c,margin,low,272,160,0.9799,44.8529%,0.7245%,48.5294%,1.5245%
MOT20,S_c,cos,low,272,0,nan,0.0000%,0.1316%,0.0000%,0.1316%
MOT20,S_c,vobs,high,272,0,nan,0.0000%,0.6064%,0.0000%,1.8774%
MOT20,S_c,oc,high,272,160,0.8638,8.8235%,0.9268%,17.2794%,1.8957%
MOT20,S_c,dca,high,272,160,0.9977,58.8235%,0.7296%,58.8235%,1.6963%
MOT20,S_c,dcb,high,272,160,0.8723,6.9853%,0.9915%,12.1324%,1.9852%
MOT20,S_r,margin,low,962,915,0.8405,24.0125%,0.7245%,34.0956%,1.5245%
MOT20,S_r,cos,low,962,767,0.5848,2.2869%,0.7096%,4.5738%,1.4264%
MOT20,S_r,vobs,high,962,915,0.7633,19.3347%,0.6064%,29.6258%,1.8774%
MOT20,S_r,oc,high,962,915,0.6886,7.0686%,0.9268%,12.2661%,1.8957%
MOT20,S_r,dca,high,962,915,0.8416,22.5572%,0.7296%,37.2141%,1.6963%
MOT20,S_r,dcb,high,962,915,0.8384,33.0561%,0.9915%,37.7339%,1.9852%
MOT20,S_h,margin,low,406,311,0.9458,42.3645%,0.7245%,50.4926%,1.5245%
MOT20,S_h,cos,low,406,0,nan,0.0000%,0.1316%,0.0000%,0.1316%
MOT20,S_h,vobs,high,406,0,nan,0.0000%,0.6064%,0.0000%,1.8774%
MOT20,S_h,oc,high,406,311,0.8220,10.8374%,0.9268%,21.1823%,1.8957%
MOT20,S_h,dca,high,406,311,0.9330,52.9557%,0.7296%,56.1576%,1.6963%
MOT20,S_h,dcb,high,406,311,0.8447,11.3300%,0.9915%,18.4729%,1.9852%
MOT20,overall,margin,low,1640,1386,0.8802,32.0122%,0.7245%,40.5488%,1.5245%
