dataset,class,union,motion_signal,tpr_1,fpr_1,thr_1,tpr_2,fpr_2,thr_2
MOT17,S_c,u12,vobs,12.1951%,0.8237%,margin<=0.2 vobs>=0.1226,14.6341%,1.9557%,margin<=0.3 vobs=off
MOT17,S_c,u1234,vobs,12.1951%,0.8816%,margin<=0.2 vobs>=0.1591 oc=off dcb>=-0.4195,14.6341%,1.9557%,margin<=0.3 vobs=off oc=off dcb=off
MOT17,S_c,u1234a,vobs,14.6341%,0.8899%,margin<=0.1 vobs>=0.1226 oc=off dca>=-0.1877,14.6341%,1.8895%,margin<=0.1 vobs>=0.0987 oc=off dca>=-0.4566
MOT17,S_c,u2,vobs,12.1951%,1.0803%,margin<=0.2 dcb>=-0.5302,14.6341%,2.4669%,margin<=0.3 dcb>=-0.5999
MOT17,S_r,u12,vobs,18.2927%,0.9541%,margin<=0.25 vobs>=0.1591,24.3902%,1.9557%,margin<=0.3 vobs=off
MOT17,S_r,u1234,vobs,20.7317%,0.9727%,margin<=0.25 vobs=off oc=off dcb>=-0.4195,24.3902%,1.9557%,margin<=0.3 vobs=off oc=off dcb=off
MOT17,S_r,u1234a,vobs,19.5122%,0.9644%,margin<=0.25 vobs=off oc=off dca>=-0.1877,25.6098%,1.9350%,margin<=0.25 vobs>=0.1226 oc=off dca>=-0.4566
MOT17,S_r,u2,vobs,23.1707%,1.2210%,margin<=0.25 dcb>=-0.5302,25.6098%,2.4669%,margin<=0.3 dcb>=-0.5999
MOT17,S_h,u12,vobs,16.9492%,0.9541%,margin<=0.25 vobs>=0.1591,18.6441%,1.9557%,margin<=0.3 vobs=off
MOT17,S_h,u1234,vobs,18.6441%,0.9727%,margin<=0.25 vobs=off oc=off dcb>=-0.4195,20.3390%,1.8357%,margin<=0.25 vobs>=0.0987 oc=off dcb>=-0.5302
MOT17,S_h,u1234a,vobs,22.0339%,0.8899%,margin<=0.1 vobs>=0.1226 oc=off dca>=-0.1877,25.4237%,1.8895%,margin<=0.1 vobs>=0.0987 oc=off dca>=-0.4566
MOT17,S_h,u2,vobs,20.3390%,1.2210%,margin<=0.25 dcb>=-0.5302,20.3390%,2.4669%,margin<=0.3 dcb>=-0.5999
MOT17,overall,u12,vobs,16.4835%,0.9541%,margin<=0.25 vobs>=0.1591,20.3297%,1.9557%,margin<=0.3 vobs=off
MOT17,overall,u1234,vobs,18.1319%,0.9727%,margin<=0.25 vobs=off oc=off dcb>=-0.4195,20.3297%,1.9557%,margin<=0.3 vobs=off oc=off dcb=off
MOT17,overall,u1234a,vobs,19.2308%,0.9644%,margin<=0.25 vobs=off oc=off dca>=-0.1877,23.0769%,1.9350%,margin<=0.25 vobs>=0.1226 oc=off dca>=-0.4566
