Dataset,Class,N_Events,FPR@60%,FPR@70%,FPR@80%,FPR@85%,FPR@90%,FPR@95%,FPR@99%,FPR@100%,pAUC[0.6,1.0],pAUC[0.95,1.0]
MOT17,Overall,546,6.54%,9.14%,14.79%,23.08%,27.73%,36.89%,81.07%,88.60%,0.7865,0.4205
MOT17,S_c,123,3.37%,3.71%,4.85%,5.04%,5.57%,6.22%,9.57%,9.57%,0.9506,0.8847
MOT17,S_r,246,14.50%,20.36%,27.73%,33.19%,36.89%,45.86%,88.29%,88.60%,0.6710,0.2446
MOT17,S_h,177,6.54%,8.45%,11.42%,13.56%,15.54%,23.55%,39.41%,39.41%,0.8626,0.6541
MOT20,Overall,1600,4.16%,6.15%,10.06%,13.30%,17.75%,28.37%,54.04%,96.34%,0.8488,0.5222
MOT20,S_c,259,3.14%,3.76%,4.68%,5.33%,6.16%,7.89%,10.73%,13.54%,0.9465,0.8661
MOT20,S_r,943,6.27%,10.38%,15.75%,19.66%,25.37%,36.09%,61.58%,96.34%,0.7932,0.4408
MOT20,S_h,398,3.27%,4.55%,5.91%,7.13%,8.25%,10.50%,18.90%,48.82%,0.9269,0.7941
SportsMOT,Overall,2567,1.55%,2.98%,4.89%,6.62%,10.10%,16.10%,39.89%,96.00%,0.9144,0.6691
SportsMOT,S_c,1446,0.20%,0.41%,2.36%,3.02%,3.77%,5.24%,9.75%,17.67%,0.9729,0.8826
SportsMOT,S_r,710,4.90%,7.90%,11.32%,14.39%,19.61%,30.21%,63.33%,96.00%,0.8309,0.4694
SportsMOT,S_h,411,3.89%,5.59%,9.16%,12.26%,14.64%,18.74%,24.09%,77.56%,0.8891,0.7241
Overall,Overall,4713,3.12%,4.69%,7.58%,10.38%,14.79%,24.40%,51.36%,96.34%,0.8746,0.5627
Overall,S_c,1828,0.82%,2.24%,3.18%,3.70%,4.59%,6.09%,10.02%,17.67%,0.9629,0.8773
Overall,S_r,1899,6.32%,10.17%,15.66%,19.82%,25.73%,37.70%,68.61%,96.34%,0.7882,0.4113
Overall,S_h,986,4.12%,5.52%,7.93%,9.64%,12.59%,17.07%,28.73%,77.56%,0.8966,0.7122
