Dataset,Class,N_Events,Min,P01,P05,P10,P50(Median),P90,P99,Mean,Std,Score>=0.99(%),Score>=0.95(%)
MOT17,Overall,546,0.603754,0.708172,0.956055,0.976209,0.999463,0.999996,1.000000,0.988595,0.044490,82.42%,95.60%
MOT17,S_c,123,0.997598,0.997598,0.999067,0.999273,0.999788,0.999992,1.000000,0.999679,0.000417,100.00%,100.00%
MOT17,S_r,246,0.603754,0.609111,0.929056,0.956055,0.998278,0.999997,1.000000,0.977245,0.064087,65.85%,91.46%
MOT17,S_h,177,0.949202,0.949202,0.983244,0.993142,0.999376,0.999976,1.000000,0.996669,0.008229,93.22%,98.31%
MOT20,Overall,1600,0.412643,0.897199,0.975019,0.990869,0.999834,0.999999,1.000000,0.993783,0.032351,90.31%,97.25%
MOT20,S_c,259,0.994902,0.996920,0.998423,0.999087,0.999876,0.999993,1.000000,0.999635,0.000656,100.00%,100.00%
MOT20,S_r,943,0.412643,0.860584,0.958059,0.980351,0.999738,1.000000,1.000000,0.989970,0.041599,84.09%,95.44%
MOT20,S_h,398,0.918463,0.989540,0.997063,0.998264,0.999871,0.999997,1.000000,0.999010,0.004799,98.74%,99.75%
SportsMOT,Overall,2567,0.424596,0.947839,0.992603,0.997303,0.999997,1.000000,1.000000,0.997482,0.018521,96.03%,98.95%
SportsMOT,S_c,1446,0.990955,0.997500,0.999365,0.999701,1.000000,1.000000,1.000000,0.999860,0.000561,100.00%,100.00%
SportsMOT,S_r,710,0.424596,0.850844,0.971443,0.988687,0.999843,1.000000,1.000000,0.992563,0.033235,88.87%,96.34%
SportsMOT,S_h,411,0.744515,0.982421,0.989726,0.993971,0.999839,1.000000,1.000000,0.997613,0.013098,94.40%,99.76%
Overall,Overall,4713,0.412643,0.908497,0.981935,0.993839,0.999931,1.000000,1.000000,0.995197,0.027929,92.51%,97.98%
Overall,S_c,1828,0.990955,0.997349,0.999111,0.999529,1.000000,1.000000,1.000000,0.999816,0.000573,100.00%,100.00%
Overall,S_r,1899,0.412643,0.817290,0.953920,0.979745,0.999692,1.000000,1.000000,0.989291,0.042748,83.52%,95.26%
Overall,S_h,986,0.744515,0.974321,0.991593,0.995647,0.999815,1.000000,1.000000,0.998007,0.009683,95.94%,99.49%
