dataset,seq,frame,type,track_id,gt_id_old,gt_id_new,old_hid,class,in_tracker_join,in_reuse_join
MOT17,V001,317,switch,25,17,17,27,S_r,1,0
MOT17,V001,318,switch,32,76,76,25,S_c,0,0
MOT17,V001,348,switch,38,38,38,6,S_c,0,0
MOT17,V001,353,switch,40,56,56,34,S_c,0,0
MOT17,V001,358,switch,23,28,28,14,S_r,1,0
MOT17,V001,364,switch,9,31,31,23,S_r,1,0
MOT17,V001,366,switch,43,29,29,9,S_c,0,0
MOT17,V001,389,switch,24,18,18,22,S_r,1,0
MOT17,V001,391,switch,26,42,42,28,S_r,1,0
MOT17,V001,394,switch,35,9,9,33,S_r,1,0
MOT17,V001,395,switch,40,48,48,34,S_r,1,0
MOT17,V001,395,switch,46,67,67,24,S_c,0,0
MOT17,V001,400,switch,33,17,17,25,S_h,1,0
MOT17,V001,404,switch,9,26,26,3,S_h,1,0
MOT17,V001,405,switch,25,10,10,35,S_h,1,0
MOT17,V001,405,switch,47,15,15,26,S_c,0,0
MOT17,V001,408,switch,22,41,41,17,S_h,1,0
MOT17,V001,423,switch,15,61,61,12,S_r,1,0
MOT17,V001,427,switch,23,31,31,9,S_h,1,0
MOT17,V001,429,switch,33,9,9,35,S_r,1,0
MOT17,V001,442,switch,43,31,31,23,S_r,1,0
MOT17,V001,443,switch,50,60,60,15,S_c,0,0
MOT17,V001,446,switch,26,65,65,22,S_r,1,0
MOT17,V001,448,switch,52,17,17,33,S_c,0,0
MOT17,V001,448,switch,33,76,76,32,S_h,1,0
MOT17,V001,451,switch,12,48,48,40,S_r,1,0
MOT17,V001,452,switch,54,10,10,25,S_c,0,0
MOT17,V001,452,switch,30,33,33,37,S_r,1,0
MOT17,V001,454,switch,32,9,9,33,S_h,1,0
MOT17,V001,455,switch,37,33,33,37,S_h,0,0
MOT17,V001,457,switch,54,9,9,32,S_r,1,0
MOT17,V001,457,switch,55,40,40,11,S_c,0,0
MOT17,V001,458,switch,32,9,9,32,S_h,0,0
MOT17,V001,458,switch,46,41,41,22,S_r,1,0
MOT17,V001,461,switch,35,9,9,32,S_r,0,0
MOT17,V001,461,switch,40,48,48,12,S_h,0,0
MOT17,V001,461,switch,34,56,56,40,S_r,1,0
MOT17,V001,462,switch,22,42,42,26,S_h,1,0
MOT17,V001,462,switch,10,49,49,34,S_h,1,0
MOT17,V001,473,switch,46,42,42,22,S_r,1,0
MOT17,V001,473,switch,22,67,67,46,S_r,1,0
MOT17,V001,475,switch,37,32,32,30,S_r,1,0
MOT17,V001,475,switch,30,33,33,37,S_r,1,0
MOT17,V001,479,switch,52,41,41,46,S_r,1,0
MOT17,V001,485,switch,46,17,17,52,S_r,1,0
MOT17,V001,486,switch,12,56,56,40,S_h,1,0
MOT17,V001,488,switch,57,42,42,46,S_c,0,0
MOT17,V001,496,switch,58,31,31,43,S_c,0,0
MOT17,V001,498,switch,33,41,41,52,S_r,1,0
MOT17,V001,498,switch,52,78,78,33,S_r,1,0
MOT17,V001,508,switch,33,42,42,57,S_r,1,0
MOT17,V001,508,switch,57,78,78,52,S_r,1,0
MOT17,V001,514,switch,47,18,18,24,S_r,1,0
MOT17,V001,514,switch,52,42,42,33,S_h,1,0
MOT17,V001,516,switch,33,9,9,35,S_r,1,0
MOT17,V001,516,switch,35,41,41,33,S_r,1,0
MOT17,V001,519,switch,24,18,18,47,S_r,0,0
