dataset,seq,n_S_c,n_S_r,n_S_h,n_switch,n_reuse
MOT17,V001,13,38,15,66,77
MOT17,V002,13,38,15,66,77
MOT17,V003,13,38,15,66,77
MOT17,V004,2,3,1,6,5
MOT17,V005,2,3,1,6,5
MOT17,V006,2,3,1,6,5
MOT17,V007,8,8,24,40,41
MOT17,V008,8,8,24,40,41
MOT17,V009,8,8,24,40,41
MOT17,V010,3,10,8,21,21
MOT17,V011,3,10,8,21,21
MOT17,V012,3,10,8,21,21
MOT17,V013,10,13,4,27,21
MOT17,V014,10,13,4,27,21
MOT17,V015,10,13,4,27,21
MOT17,V016,4,9,3,16,12
MOT17,V017,4,9,3,16,12
MOT17,V018,4,9,3,16,12
MOT17,V019,1,2,4,7,12
MOT17,V020,1,2,4,7,12
MOT17,V021,1,2,4,7,12
MOT20,V001,14,48,11,73,49
MOT20,V002,101,257,93,451,296
MOT20,V003,43,189,81,313,204
MOT20,V004,114,468,221,803,522
SportsMOT,V001,5,5,3,13,5
SportsMOT,V002,5,4,0,9,4
SportsMOT,V003,5,9,0,14,8
SportsMOT,V004,1,2,0,3,2
SportsMOT,V005,4,3,0,7,3
SportsMOT,V006,3,1,0,4,0
SportsMOT,V007,0,4,0,4,4
SportsMOT,V008,0,1,1,2,2
SportsMOT,V009,10,2,0,12,1
SportsMOT,V010,21,2,0,23,2
SportsMOT,V011,39,5,1,45,2
SportsMOT,V012,15,0,0,15,0
SportsMOT,V013,58,9,17,84,8
SportsMOT,V014,6,0,0,6,0
SportsMOT,V015,8,8,4,20,12
SportsMOT,V016,15,7,3,25,9
SportsMOT,V017,23,10,0,33,8
SportsMOT,V018,8,5,0,13,4
SportsMOT,V019,23,21,3,47,19
SportsMOT,V020,9,2,0,11,2
SportsMOT,V021,14,10,2,26,10
SportsMOT,V022,7,6,0,13,6
SportsMOT,V023,5,11,1,17,12
SportsMOT,V024,14,6,1,21,4
SportsMOT,V025,8,3,0,11,2
SportsMOT,V026,3,7,0,10,6
SportsMOT,V027,2,0,0,2,0
SportsMOT,V028,4,8,4,16,12
SportsMOT,V029,6,3,0,9,3
SportsMOT,V030,8,5,2,15,7
SportsMOT,V031,13,5,14,32,13
SportsMOT,V032,2,6,1,9,5
SportsMOT,V033,1,3,2,6,3
SportsMOT,V034,2,2,2,6,3
SportsMOT,V035,0,2,0,2,2
SportsMOT,V036,1,0,0,1,0
SportsMOT,V037,10,0,0,10,0
SportsMOT,V038,43,7,4,54,2
SportsMOT,V039,57,24,22,103,15
SportsMOT,V040,43,44,31,118,49
SportsMOT,V041,51,12,20,83,9
SportsMOT,V042,31,10,6,47,9
SportsMOT,V043,80,100,63,243,105
SportsMOT,V044,17,2,1,20,4
SportsMOT,V045,33,12,4,49,15
SportsMOT,V046,7,6,0,13,6
SportsMOT,V047,14,3,4,21,6
SportsMOT,V048,4,6,2,12,8
SportsMOT,V049,7,7,1,15,7
SportsMOT,V050,1,4,0,5,4
SportsMOT,V051,4,6,1,11,6
SportsMOT,V052,30,32,17,79,31
SportsMOT,V053,17,12,11,40,18
SportsMOT,V054,29,13,25,67,15
SportsMOT,V055,16,5,6,27,9
SportsMOT,V056,17,13,11,41,19
SportsMOT,V057,14,11,9,34,18
SportsMOT,V058,29,1,27,57,4
SportsMOT,V060,7,7,1,15,8
SportsMOT,V061,5,6,0,11,6
SportsMOT,V062,5,2,0,7,2
SportsMOT,V063,6,9,0,15,9
SportsMOT,V064,6,0,0,6,0
SportsMOT,V065,8,10,1,19,10
SportsMOT,V066,9,1,2,12,5
SportsMOT,V067,6,5,0,11,5
SportsMOT,V068,8,5,0,13,4
SportsMOT,V069,8,8,1,17,9
SportsMOT,V070,16,14,5,35,18
SportsMOT,V071,6,2,0,8,2
SportsMOT,V072,4,7,1,12,6
SportsMOT,V073,4,7,2,13,7
SportsMOT,V074,8,8,0,16,8
SportsMOT,V075,3,13,1,17,11
SportsMOT,V076,7,6,0,13,8
SportsMOT,V077,26,16,0,42,5
SportsMOT,V078,7,1,0,8,0
SportsMOT,V079,23,4,2,29,3
SportsMOT,V080,7,0,1,8,0
SportsMOT,V081,22,1,1,24,0
SportsMOT,V082,21,2,1,24,0
SportsMOT,V083,26,6,0,32,4
SportsMOT,V084,20,2,2,24,2
SportsMOT,V085,15,5,1,21,6
SportsMOT,V086,74,2,11,87,9
SportsMOT,V087,59,31,18,108,38
SportsMOT,V088,11,4,0,15,2
SportsMOT,V089,34,10,7,51,13
SportsMOT,V090,83,9,27,119,20
