dataset,seq,frame,type,class,track_id,gt_id_new,old_hid,top1,top2,margin,no_box,cos_theta,r_v,v_obs_norm,sigma_norm,n_neighbor,geom_020
MOT17,V001,317,switch,S_r,25,17,27,0.8712,0.0318,0.8394,0,-0.2747,2.912044,0.0205,0.0579,1.0,0
MOT17,V001,318,switch,S_c,32,76,25,0.4290,0.0299,0.3990,0,,,,0.1414,,0
MOT17,V001,348,switch,S_c,38,38,6,0.2220,0.2200,0.0020,0,,,,0.1414,,1
MOT17,V001,353,switch,S_c,40,56,34,0.3487,0.0978,0.2509,0,,,,0.1414,,0
MOT17,V001,358,switch,S_r,23,28,14,0.8629,0.6159,0.2471,0,0.8479,1.217327,0.0629,0.0579,4.0,0
MOT17,V001,364,switch,S_r,9,31,23,0.8732,0.2137,0.6595,0,0.9718,1.096466,0.0344,0.0617,3.0,0
MOT17,V001,366,switch,S_c,43,29,9,0.4724,0.3270,0.1454,0,,,,0.1414,,1
MOT17,V001,389,switch,S_r,24,18,22,0.5826,0.0380,0.5446,0,0.2373,27.873340,0.0830,0.0547,1.0,0
MOT17,V001,391,switch,S_r,26,42,28,0.8718,0.1495,0.7223,0,0.9369,1.575363,0.0466,0.0582,2.0,0
MOT17,V001,394,switch,S_r,35,9,33,0.7696,0.1782,0.5914,0,-0.8809,2.914719,0.0315,0.0583,5.0,0
MOT17,V001,395,switch,S_r,40,48,34,0.8274,0.2778,0.5496,0,0.0238,3.231685,0.0299,0.0580,3.0,0
MOT17,V001,395,switch,S_c,46,67,24,0.1307,0.0356,0.0951,0,,,,0.1414,,0
MOT17,V001,400,switch,S_h,33,17,25,0.6802,0.2385,0.4416,0,,,,0.0665,,0
MOT17,V001,404,switch,S_h,9,26,3,0.8747,0.2908,0.5839,0,,,,0.0659,,0
MOT17,V001,405,switch,S_h,25,10,35,0.6258,0.2329,0.3929,0,,,,0.0672,,0
MOT17,V001,405,switch,S_c,47,15,26,0.2953,0.0919,0.2034,0,,,,0.1414,,0
MOT17,V001,408,switch,S_h,22,41,17,0.8317,0.0719,0.7598,0,,,,0.0725,,0
MOT17,V001,423,switch,S_r,15,61,12,0.8674,0.0263,0.8411,0,0.9879,2.423537,0.0157,0.0552,2.0,0
MOT17,V001,427,switch,S_h,23,31,9,0.5059,0.2957,0.2102,0,,,,0.0572,,0
MOT17,V001,429,switch,S_r,33,9,35,0.8862,0.6296,0.2565,0,-0.9930,2.970690,0.0129,0.0561,4.0,0
MOT17,V001,442,switch,S_r,43,31,23,0.8256,0.5295,0.2962,0,0.5352,3.340198,0.0328,0.0594,4.0,0
MOT17,V001,443,switch,S_c,50,60,15,0.3258,0.0163,0.3095,0,,,,0.1414,,0
MOT17,V001,446,switch,S_r,26,65,22,0.7295,0.0921,0.6374,0,0.1097,2.946556,0.0175,0.0570,2.0,0
MOT17,V001,448,switch,S_c,52,17,33,0.0460,0.0074,0.0386,0,,,,0.1414,,0
MOT17,V001,448,switch,S_h,33,76,32,0.0409,0.0092,0.0317,0,,,,0.0649,,0
MOT17,V001,451,switch,S_r,12,48,40,0.8738,0.7139,0.1599,0,,,0.0299,0.0548,3.0,1
MOT17,V001,452,switch,S_c,54,10,25,0.1743,0.1592,0.0151,0,,,,0.1414,,0
MOT17,V001,452,switch,S_r,30,33,37,0.6306,0.1544,0.4761,0,-0.7939,2.287157,0.0319,0.0550,1.0,0
MOT17,V001,454,switch,S_h,32,9,33,0.4584,0.0930,0.3654,0,,,,0.0529,,0
MOT17,V001,455,switch,S_h,37,33,37,0.3158,0.0637,0.2521,0,,,,0.0716,,0
MOT17,V001,457,switch,S_r,54,9,32,0.4138,0.2786,0.1352,0,0.0735,3.581569,0.1157,0.0457,3.0,1
MOT17,V001,457,switch,S_c,55,40,11,0.0374,0.0206,0.0168,0,,,,0.1414,,0
MOT17,V001,458,switch,S_h,32,9,32,0.5952,0.3438,0.2515,0,,,,0.0625,,0
MOT17,V001,458,switch,S_r,46,41,22,0.9483,0.1124,0.8359,0,0.9544,1.220413,0.0277,0.0585,1.0,0
