idea,dataset,threshold,group,n_samples,n_triggered,rate
geom,MOT17,eps=0.05,A_S_r,249,9,0.03614457831325301
geom,MOT17,eps=0.05,B_S_cuSh,300,15,0.05
geom,MOT17,eps=0.05,C_normal,144891,93,0.0006418618133631488
geom,MOT17,eps=0.10,A_S_r,249,15,0.060240963855421686
geom,MOT17,eps=0.10,B_S_cuSh,300,18,0.06
geom,MOT17,eps=0.10,C_normal,144891,237,0.0016357123630867342
geom,MOT17,eps=0.15,A_S_r,249,27,0.10843373493975904
geom,MOT17,eps=0.15,B_S_cuSh,300,30,0.1
geom,MOT17,eps=0.15,C_normal,144891,0,0.0
geom,MOT17,eps=0.20,A_S_r,249,36,0.14457831325301204
geom,MOT17,eps=0.20,B_S_cuSh,300,36,0.12
geom,MOT17,eps=0.20,C_normal,144891,624,0.00430668571546887
geom,MOT17,eps=0.25,A_S_r,249,45,0.18072289156626506
geom,MOT17,eps=0.25,B_S_cuSh,300,45,0.15
geom,MOT17,eps=0.25,C_normal,144891,0,0.0
kf,MOT17,best_adaptive@FPR<=1%,event_S_r,249,45,0.18072289156626506
kf,MOT17,best_fixed@FPR<=1%,event_S_r,249,45,0.18072289156626506
den,MOT17,best_gamma@FPR<=1%,event_S_r,249,45,0.18072289156626506
geom,MOT20,eps=0.05,A_S_r,962,35,0.036382536382536385
geom,MOT20,eps=0.05,B_S_cuSh,678,66,0.09734513274336283
geom,MOT20,eps=0.05,C_normal,920064,724,0.0007869017807456873
geom,MOT20,eps=0.10,A_S_r,962,64,0.06652806652806653
geom,MOT20,eps=0.10,B_S_cuSh,678,119,0.17551622418879056
geom,MOT20,eps=0.10,C_normal,920064,1477,0.0016053231079577073
geom,MOT20,eps=0.15,A_S_r,962,104,0.10810810810810811
geom,MOT20,eps=0.15,B_S_cuSh,678,171,0.252212389380531
geom,MOT20,eps=0.15,C_normal,920064,0,0.0
geom,MOT20,eps=0.20,A_S_r,962,168,0.17463617463617465
geom,MOT20,eps=0.20,B_S_cuSh,678,236,0.3480825958702065
geom,MOT20,eps=0.20,C_normal,920064,3843,0.004176883347245409
geom,MOT20,eps=0.25,A_S_r,962,231,0.24012474012474014
geom,MOT20,eps=0.25,B_S_cuSh,678,294,0.4336283185840708
geom,MOT20,eps=0.25,C_normal,920064,0,0.0
kf,MOT20,best_adaptive@FPR<=1%,event_S_r,962,237,0.24636174636174638
kf,MOT20,best_fixed@FPR<=1%,event_S_r,962,231,0.24012474012474014
den,MOT20,best_gamma@FPR<=1%,event_S_r,962,231,0.24012474012474014
geom,SportsMOT,eps=0.05,A_S_r,710,30,0.04225352112676056
geom,SportsMOT,eps=0.05,B_S_cuSh,1857,16,0.008616047388260635
geom,SportsMOT,eps=0.05,C_normal,578406,337,0.0005826357264620354
geom,SportsMOT,eps=0.10,A_S_r,710,71,0.1
geom,SportsMOT,eps=0.10,B_S_cuSh,1857,30,0.01615508885298869
geom,SportsMOT,eps=0.10,C_normal,578406,727,0.0012569025909136488
geom,SportsMOT,eps=0.15,A_S_r,710,104,0.14647887323943662
geom,SportsMOT,eps=0.15,B_S_cuSh,1857,45,0.024232633279483037
geom,SportsMOT,eps=0.15,C_normal,578406,0,0.0
geom,SportsMOT,eps=0.20,A_S_r,710,150,0.2112676056338028
geom,SportsMOT,eps=0.20,B_S_cuSh,1857,61,0.03284868066774367
geom,SportsMOT,eps=0.20,C_normal,578406,2523,0.004361987946183131
geom,SportsMOT,eps=0.25,A_S_r,710,194,0.27323943661971833
geom,SportsMOT,eps=0.25,B_S_cuSh,1857,77,0.041464728056004305
geom,SportsMOT,eps=0.25,C_normal,578406,0,0.0
kf,SportsMOT,best_adaptive@FPR<=1%,event_S_r,710,201,0.2830985915492958
kf,SportsMOT,best_fixed@FPR<=1%,event_S_r,710,194,0.27323943661971833
den,SportsMOT,best_gamma@FPR<=1%,event_S_r,710,194,0.27323943661971833
den,combined,best_gamma@FPR<=1%,event_S_r,1921,470,0.24466423737636647
geom,combined,eps=0.05,A_S_r,1921,74,0.038521603331598125
geom,combined,eps=0.05,B_S_cuSh,2835,97,0.03421516754850088
geom,combined,eps=0.05,C_normal,1643361,1154,0.0007022194149672531
geom,combined,eps=0.10,A_S_r,1921,150,0.07808433107756377
geom,combined,eps=0.10,B_S_cuSh,2835,167,0.05890652557319224
geom,combined,eps=0.10,C_normal,1643361,2441,0.0014853705302730197
geom,combined,eps=0.15,A_S_r,1921,235,0.12233211868818324
geom,combined,eps=0.15,B_S_cuSh,2835,246,0.08677248677248678
geom,combined,eps=0.15,C_normal,1643361,0,0.0
geom,combined,eps=0.20,A_S_r,1921,354,0.1842790213430505
geom,combined,eps=0.20,B_S_cuSh,2835,333,0.11746031746031746
geom,combined,eps=0.20,C_normal,1643361,6990,0.004253478085460225
geom,combined,eps=0.25,A_S_r,1921,470,0.24466423737636647
geom,combined,eps=0.25,B_S_cuSh,2835,416,0.14673721340388007
geom,combined,eps=0.25,C_normal,1643361,0,0.0
kf,combined,best_adaptive@FPR<=1%,event_S_r,1921,483,0.2514315460697553
kf,combined,best_fixed@FPR<=1%,event_S_r,1921,470,0.24466423737636647
