tpr_target,Max_Oracle_FPR,Max_Test_FPR,PowerMean_Oracle_FPR,PowerMean_Test_FPR,Noisy-OR_Oracle_FPR,Noisy-OR_Test_FPR,OWA_Oracle_FPR,OWA_Test_FPR
60.0%,1.3593%,1.3593%,5.7586%,5.3714%,3.1191%,3.1191%,1.3593%,1.3593%
65.0%,1.7792%,1.7792%,6.2375%,5.7595%,3.7547%,3.7547%,1.7792%,1.7792%
70.0%,2.3810%,2.3810%,6.5481%,6.2936%,4.6882%,4.6882%,2.3810%,2.3810%
75.0%,3.6700%,3.6700%,6.9920%,6.7273%,5.8311%,5.8311%,3.6700%,3.6700%
80.0%,6.1353%,6.1353%,8.1378%,7.7942%,7.5836%,7.5836%,6.1353%,6.1353%
85.0%,10.3882%,10.3882%,10.8855%,10.8988%,10.3760%,10.3760%,10.3882%,10.3882%
90.0%,16.3183%,16.3183%,16.0285%,16.6640%,14.7910%,14.7910%,16.3183%,16.3183%
95.0%,27.0293%,27.0293%,26.1491%,27.8979%,24.3954%,24.3954%,27.0293%,27.0293%
99.0%,54.5267%,54.5267%,54.4659%,55.0429%,51.3598%,51.3598%,54.5267%,54.5267%
100.0%,100.0000%,100.0000%,96.8863%,99.4523%,96.3430%,96.3430%,100.0000%,100.0000%
