dataset,seq,frame,class,track_id,gt_id_new,no_box,f_weak,f_comp,f_swap,r_weak,r_comp,r_swap
MOT17,V001,317,S_r,25,17,0,0.128753,0.031835,-1.797965,0.935327,0.268506,0.260670
MOT17,V001,318,S_c,32,76,0,0.571035,0.029926,-1.359967,0.996455,0.266202,0.641238
MOT17,V001,348,S_c,38,38,0,0.777963,0.220038,-0.568718,0.997634,0.556153,0.989151
MOT17,V001,353,S_c,40,56,0,0.651326,0.097803,-1.220265,0.997096,0.357652,0.743968
MOT17,V001,358,S_r,23,28,0,0.137057,0.615875,-0.597638,0.942916,0.981698,0.986184
MOT17,V001,364,S_r,9,31,0,0.126815,0.213704,-1.299589,0.933398,0.545356,0.687904
MOT17,V001,366,S_c,43,29,0,0.527580,0.326971,-0.985100,0.996007,0.728263,0.879943
MOT17,V001,389,S_r,24,18,0,0.417444,0.037980,-1.495960,0.994065,0.276245,0.526967
MOT17,V001,391,S_r,26,42,0,0.128186,0.149539,-1.519532,0.934774,0.438465,0.506779
MOT17,V001,394,S_r,35,9,0,0.230388,0.178172,-1.369020,0.980620,0.485309,0.633875
MOT17,V001,395,S_r,40,48,0,0.172600,0.277823,-1.177270,0.964748,0.652324,0.772290
MOT17,V001,395,S_c,46,67,0,0.869289,0.035601,-1.038404,0.998003,0.273302,0.853661
MOT17,V001,400,S_h,33,17,0,0.319840,0.238529,-1.141637,0.990061,0.587085,0.794917
MOT17,V001,404,S_h,9,26,0,0.125250,0.290801,-1.065357,0.931708,0.673150,0.839423
MOT17,V001,405,S_h,25,10,0,0.374192,0.232893,-0.965453,0.992663,0.577729,0.889044
MOT17,V001,405,S_c,47,15,0,0.704734,0.091912,-1.144507,0.997356,0.348686,0.793114
MOT17,V001,408,S_h,22,41,0,0.168305,0.071887,-1.699889,0.962810,0.320545,0.351407
MOT17,V001,423,S_r,15,61,0,0.132584,0.026312,-1.780700,0.938956,0.261797,0.277971
MOT17,V001,427,S_h,23,31,0,0.494118,0.295719,-0.980101,0.995574,0.680906,0.882327
MOT17,V001,429,S_r,33,9,0,0.113844,0.629636,-0.445803,0.917265,0.985491,0.995413
MOT17,V001,442,S_r,43,31,0,0.174376,0.529469,-0.657075,0.965534,0.941179,0.978393
MOT17,V001,443,S_c,50,60,0,0.674180,0.016313,-1.252213,0.997214,0.249327,0.722340
MOT17,V001,448,S_c,52,17,0,0.953973,0.007434,-0.929983,0.998290,0.237837,0.904193
MOT17,V001,448,S_h,33,76,0,0.959120,0.009176,-0.707719,0.998306,0.240181,0.970017
MOT17,V001,451,S_r,12,48,0,0.126219,0.713869,-0.221929,0.932777,0.998513,0.998796
MOT17,V001,452,S_c,54,10,0,0.825749,0.159173,-0.978024,0.997830,0.454081,0.883260
MOT17,V001,452,S_r,30,33,0,0.369409,0.154444,-1.273231,0.992514,0.446347,0.707172
MOT17,V001,454,S_h,32,9,0,0.541616,0.093030,-1.095607,0.996170,0.350362,0.822916
MOT17,V001,455,S_h,37,33,0,0.684201,0.063733,-1.125297,0.997263,0.309409,0.805012
MOT17,V001,457,S_r,54,9,0,0.586231,0.278615,-0.716880,0.996597,0.653603,0.968384
MOT17,V001,457,S_c,55,40,0,0.962586,0.020605,-0.881222,0.998318,0.254789,0.922964
MOT17,V001,458,S_h,32,9,0,0.404754,0.343772,-0.361992,0.993703,0.751786,0.997227
MOT17,V001,458,S_r,46,41,0,0.051731,0.112351,-1.666081,0.681760,0.379787,0.380247
MOT17,V001,461,S_r,35,9,0,0.081744,0.569165,-0.743861,0.846374,0.963557,0.962833
MOT17,V001,461,S_h,40,48,0,0.826046,0.078896,-0.898164,0.997830,0.330317,0.916649
MOT17,V001,461,S_r,34,56,0,0.317383,0.270020,-0.980537,0.989907,0.639453,0.882122
MOT17,V001,462,S_h,22,42,0,0.542851,0.228382,-1.137498,0.996181,0.570211,0.797502
MOT17,V001,462,S_h,10,49,0,0.582746,0.034931,-0.872311,0.996566,0.272436,0.926058
MOT17,V001,473,S_r,46,42,0,0.162138,0.418438,-0.885543,0.959836,0.844418,0.921388
MOT17,V001,473,S_r,22,67,0,0.105460,0.428422,-0.885543,0.904008,0.855398,0.921388
MOT17,V001,475,S_r,37,32,0,0.013955,0.360599,-1.231774,0.104003,0.774158,0.736374
MOT17,V001,475,S_r,30,33,0,0.025137,0.368534,-1.231774,0.310900,0.784260,0.736374
MOT17,V001,479,S_r,52,41,0,0.032470,0.289827,-1.312755,0.442411,0.671616,0.678145
MOT17,V001,485,S_r,46,17,0,0.087848,0.120599,-1.567755,0.864822,0.392421,0.464941
MOT17,V001,486,S_h,12,56,0,0.464060,0.000000,-1.457639,0.995095,0.226412,0.559592
MOT17,V001,488,S_c,57,42,0,0.734637,0.254429,-0.988109,0.997470,0.613717,0.878556
