H,dataset,seq,frame,tracker,label,split,innovation,max_overlap,margin,n_competitor,lost_age
0,MOT17,V001,318,25,1,train,0.008315022929727052,0.0,0.0,0.0,0.0
0,MOT17,V001,348,6,1,train,0.022034838344331908,0.0,0.0,0.0,0.0
0,MOT17,V001,353,34,1,train,0.006364080315302473,0.0,0.0,0.0,0.0
0,MOT17,V001,358,14,1,train,0.016130245212818542,0.0,0.0,0.0,0.0
0,MOT17,V001,364,23,1,train,0.03678042708976817,0.0,0.0,0.0,0.0
0,MOT17,V001,366,9,1,train,0.026895338064389936,0.0,0.0,0.0,0.0
0,MOT17,V001,389,22,1,train,0.003114462716800203,0.0,0.0,0.0,0.0
0,MOT17,V001,391,28,1,train,0.016266271075766885,0.0,0.0,0.0,0.0
0,MOT17,V001,395,34,1,train,0.006777879431857606,0.0,0.0,0.0,0.0
0,MOT17,V001,395,24,1,train,0.005535595654192722,0.0,0.0,0.0,0.0
0,MOT17,V001,405,35,1,train,0.004520500812437395,0.0,0.0,0.0,0.0
0,MOT17,V001,405,26,1,train,0.01541848435928545,0.0,0.0,0.0,0.0
0,MOT17,V001,427,9,1,train,0.01114805491861716,0.6976252913752915,0.6976252913752915,1.0,0.0
0,MOT17,V001,442,23,1,train,0.016284861055315833,0.0,0.0,0.0,0.0
0,MOT17,V001,443,15,1,train,0.010122270503001674,0.0,0.0,0.0,0.0
0,MOT17,V001,448,33,1,train,1.0,0.0,0.0,0.0,0.0
0,MOT17,V001,454,33,1,train,0.030783088739184745,0.0,0.0,0.0,0.0
0,MOT17,V001,455,37,1,train,1.0,0.0,0.0,0.0,0.0
0,MOT17,V001,458,32,1,train,1.0,0.0,0.0,0.0,0.0
0,MOT17,V001,461,32,1,train,0.008914030274585446,0.0,0.0,0.0,0.0
0,MOT17,V001,461,12,1,train,0.06875887553423261,0.0,0.0,0.0,0.0
0,MOT17,V001,461,40,1,train,1.0,0.0,0.0,0.0,0.0
0,MOT17,V001,473,22,1,train,0.01689005652279794,0.0,0.0,0.0,0.0
0,MOT17,V001,473,46,1,train,0.0172020975901046,0.0,0.0,0.0,0.0
0,MOT17,V001,475,30,1,train,0.005195389795457588,0.0,0.0,0.0,0.0
0,MOT17,V001,475,37,1,train,0.0014471376584881724,0.0,0.0,0.0,0.0
0,MOT17,V001,479,46,1,train,0.012272575658357507,0.0,0.0,0.0,0.0
0,MOT17,V001,485,52,1,train,0.01071961723341052,0.0,0.0,0.0,0.0
0,MOT17,V001,486,40,1,train,0.006768846656973847,0.0,0.0,0.0,0.0
0,MOT17,V001,488,46,1,train,0.004600713862858037,0.0,0.0,0.0,0.0
0,MOT17,V001,496,43,1,train,0.0016306754032334107,0.0,0.0,0.0,0.0
0,MOT17,V001,498,52,1,train,0.010755844157775845,0.0,0.0,0.0,0.0
